,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,70553,"+2,053",1771.0,106.0,11158.0,11272.0,Asia
1,Cruise Ship,454,+99,,,17.0,19.0,
2,Singapore,75,,,,19.0,5.0,Asia
3,Japan,65,+6,1.0,,17.0,19.0,Asia
4,Hong Kong,58,+1,1.0,,2.0,7.0,Asia
5,Thailand,35,+1,,,15.0,2.0,Asia
6,S. Korea,30,+1,,,10.0,,Asia
7,Malaysia,22,,,,8.0,,Asia
8,Taiwan,20,,1.0,,2.0,,Asia
9,Vietnam,16,,,,7.0,,Asia
10,Germany,16,,,,3.0,,Europe
11,USA,15,,,,3.0,,N.America
12,Australia,15,,,,10.0,,Oceania
13,France,12,,1.0,,4.0,,Europe
14,Macao,10,,,,5.0,,Asia
15,U.K.,9,,,,8.0,,Europe
16,U.A.E.,9,,,,3.0,1.0,Asia
17,Canada,8,,,,1.0,,N.America
18,Philippines,3,,1.0,,2.0,,Asia
19,Italy,3,,,,,2.0,Europe
20,India,3,,,,3.0,,Asia
21,Russia,2,,,,2.0,,Europe
22,Spain,2,,,,2.0,,Europe
23,Cambodia,1,,,,1.0,,Asia
24,Sweden,1,,,,,,Europe
25,Nepal,1,,,,1.0,,Asia
26,Belgium,1,,,,1.0,,Europe
27,Sri Lanka,1,,,,1.0,,Asia
28,Finland,1,,,,1.0,,Europe
29,Egypt,1,,,,,,Africa
