,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,72439,"+1,891",1869.0,99.0,12948.0,11741.0,Asia
1,Diamond Princess,542,+88,,,17.0,20.0,
2,Singapore,81,+4,,,29.0,4.0,Asia
3,Japan,73,+7,1.0,,20.0,19.0,Asia
4,Hong Kong,61,+1,1.0,,2.0,7.0,Asia
5,Thailand,35,,,,17.0,2.0,Asia
6,S. Korea,31,+1,,,12.0,,Asia
7,Taiwan,22,,1.0,,2.0,,Asia
8,Malaysia,22,,,,11.0,,Asia
9,Vietnam,16,,,,7.0,,Asia
10,Germany,16,,,,9.0,,Europe
11,USA,15,,,,3.0,,N.America
12,Australia,15,,,,10.0,,Oceania
13,France,12,,1.0,,5.0,,Europe
14,Macao,10,,,,5.0,,Asia
15,U.K.,9,,,,8.0,,Europe
16,U.A.E.,9,,,,3.0,1.0,Asia
17,Canada,8,,,,1.0,,N.America
18,Philippines,3,,1.0,,2.0,,Asia
19,Italy,3,,,,,2.0,Europe
20,India,3,,,,3.0,,Asia
21,Russia,2,,,,2.0,,Europe
22,Spain,2,,,,2.0,,Europe
23,Cambodia,1,,,,1.0,,Asia
24,Sweden,1,,,,,,Europe
25,Nepal,1,,,,1.0,,Asia
26,Belgium,1,,,,1.0,,Europe
27,Sri Lanka,1,,,,1.0,,Asia
28,Finland,1,,,,1.0,,Europe
29,Egypt,1,,,,,,Africa
