,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81171,+78,3277.0,7.0,73159.0,4735,1573.0,56.0,2.0
1,Italy,69176,"+5,249",6820.0,743.0,8326.0,54030,3393.0,1144.0,113.0
2,USA,50029,"+6,295",636.0,83.0,368.0,49025,1175.0,151.0,2.0
3,Spain,39676,"+4,540",2800.0,489.0,3794.0,33082,2355.0,849.0,60.0
4,Germany,32781,"+3,725",156.0,33.0,3133.0,29492,23.0,391.0,2.0
5,Iran,24811,"+1,762",1934.0,122.0,8913.0,13964,,295.0,23.0
6,France,19856,,860.0,,2200.0,16796,2082.0,304.0,13.0
7,Switzerland,9117,+322,122.0,2.0,131.0,8864,141.0,1053.0,14.0
8,S. Korea,9037,+76,120.0,9.0,3507.0,5410,59.0,176.0,2.0
9,UK,8077,"+1,427",422.0,87.0,135.0,7520,20.0,119.0,6.0
10,Netherlands,5560,+811,276.0,63.0,2.0,5282,435.0,324.0,16.0
11,Austria,5010,+536,28.0,7.0,9.0,4973,22.0,556.0,3.0
12,Belgium,4269,+526,122.0,34.0,461.0,3686,381.0,368.0,11.0
13,Norway,2779,+154,12.0,2.0,6.0,2761,44.0,513.0,2.0
14,Canada,2583,+492,25.0,1.0,112.0,2446,1.0,68.0,0.7
15,Portugal,2362,+302,33.0,10.0,22.0,2307,48.0,232.0,3.0
16,Sweden,2286,+240,36.0,9.0,16.0,2234,136.0,226.0,4.0
17,Australia,2144,+257,8.0,1.0,118.0,2018,11.0,84.0,0.3
18,Brazil,1980,+56,34.0,,2.0,1944,18.0,9.0,0.2
19,Israel,1656,+214,3.0,2.0,49.0,1604,31.0,191.0,0.3
20,Malaysia,1624,+106,15.0,1.0,183.0,1426,64.0,50.0,0.5
21,Denmark,1591,+131,32.0,8.0,1.0,1558,69.0,275.0,6.0
22,Turkey,1529,,37.0,,,1492,,18.0,0.4
23,Czechia,1394,+158,2.0,1.0,8.0,1384,19.0,130.0,0.2
24,Japan,1193,+65,43.0,1.0,285.0,865,54.0,9.0,0.3
25,Ireland,1125,,6.0,,5.0,1114,29.0,228.0,1.0
26,Luxembourg,1099,+224,8.0,,6.0,1085,3.0,1756.0,13.0
27,Ecuador,1049,+68,27.0,9.0,3.0,1019,2.0,59.0,2.0
28,Pakistan,972,+97,7.0,1.0,18.0,947,5.0,4.0,0.03
29,Chile,922,+176,2.0,,17.0,903,7.0,48.0,0.1
30,Poland,844,+95,9.0,1.0,1.0,834,3.0,22.0,0.2
31,Thailand,827,+106,4.0,3.0,52.0,771,7.0,12.0,0.06
32,Finland,792,+92,1.0,,10.0,781,11.0,143.0,0.2
33,Saudi Arabia,767,+205,1.0,1.0,28.0,738,,22.0,0.03
34,Romania,762,+186,8.0,1.0,79.0,675,15.0,40.0,0.4
35,Greece,743,+48,20.0,3.0,29.0,694,35.0,71.0,2.0
36,Diamond Princess,712,,10.0,2.0,587.0,115,15.0,,
37,Indonesia,686,+107,55.0,6.0,30.0,601,,3.0,0.2
38,Iceland,648,+60,2.0,1.0,51.0,595,13.0,1899.0,6.0
39,Singapore,558,+49,2.0,,156.0,400,14.0,95.0,0.3
40,South Africa,554,+152,,,4.0,550,2.0,9.0,
41,Philippines,552,+90,35.0,2.0,20.0,497,1.0,5.0,0.3
42,India,536,+37,10.0,,40.0,486,,0.4,0.01
43,Qatar,526,+25,,,41.0,485,6.0,183.0,
44,Russia,495,+57,1.0,,22.0,472,8.0,3.0,0.01
45,Slovenia,480,+38,4.0,1.0,3.0,473,12.0,231.0,2.0
46,Peru,416,+21,7.0,2.0,1.0,408,19.0,13.0,0.2
47,Bahrain,390,+13,3.0,1.0,177.0,210,2.0,229.0,2.0
48,Hong Kong,386,+29,4.0,,102.0,280,4.0,51.0,0.5
