,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81171,+78,3277.0,7.0,73159.0,4735,1573.0,56.0,2.0
1,Italy,63927,,6077.0,,7432.0,50418,3204.0,1057.0,101.0
2,USA,46168,"+2,434",582.0,29.0,295.0,45291,1040.0,139.0,2.0
3,Spain,39673,"+4,537",2696.0,385.0,3794.0,33183,2355.0,849.0,58.0
4,Germany,30357,"+1,301",130.0,7.0,472.0,29755,23.0,362.0,2.0
5,Iran,24811,"+1,762",1934.0,122.0,8913.0,13964,,295.0,23.0
6,France,19856,,860.0,,2200.0,16796,2082.0,304.0,13.0
7,Switzerland,9117,+322,122.0,2.0,131.0,8864,141.0,1053.0,14.0
8,S. Korea,9037,+76,120.0,9.0,3507.0,5410,59.0,176.0,2.0
9,UK,6650,,335.0,,135.0,6180,20.0,98.0,5.0
10,Netherlands,5560,+811,276.0,63.0,2.0,5282,435.0,324.0,16.0
11,Austria,4839,+365,25.0,4.0,9.0,4805,18.0,537.0,3.0
12,Belgium,4269,+526,122.0,34.0,461.0,3686,381.0,368.0,11.0
13,Norway,2715,+90,12.0,2.0,6.0,2697,44.0,501.0,2.0
14,Portugal,2362,+302,29.0,6.0,22.0,2311,47.0,232.0,3.0
15,Australia,2144,+257,8.0,1.0,118.0,2018,11.0,84.0,0.3
16,Sweden,2104,+58,33.0,6.0,16.0,2055,115.0,208.0,3.0
17,Canada,2091,,24.0,,112.0,1955,1.0,55.0,0.6
18,Brazil,1965,+41,34.0,,2.0,1929,18.0,9.0,0.2
19,Israel,1656,+214,1.0,,49.0,1606,31.0,191.0,0.1
20,Malaysia,1624,+106,15.0,1.0,183.0,1426,64.0,50.0,0.5
21,Denmark,1577,+117,32.0,8.0,1.0,1544,69.0,272.0,6.0
22,Turkey,1529,,37.0,,,1492,,18.0,0.4
23,Czechia,1289,+53,2.0,1.0,8.0,1279,19.0,120.0,0.2
24,Japan,1140,+12,42.0,,285.0,813,54.0,9.0,0.3
25,Ireland,1125,,6.0,,5.0,1114,29.0,228.0,1.0
26,Ecuador,981,,18.0,,3.0,960,2.0,56.0,1.0
27,Pakistan,918,+43,7.0,1.0,13.0,898,,4.0,0.03
28,Luxembourg,875,,8.0,,6.0,861,3.0,1398.0,13.0
29,Thailand,827,+106,4.0,3.0,52.0,771,7.0,12.0,0.06
30,Finland,792,+92,1.0,,10.0,781,11.0,143.0,0.2
31,Poland,774,+25,9.0,1.0,1.0,764,3.0,20.0,0.2
32,Saudi Arabia,767,+205,1.0,1.0,28.0,738,,22.0,0.03
33,Romania,762,+186,8.0,1.0,79.0,675,15.0,40.0,0.4
34,Chile,746,,2.0,,11.0,733,7.0,39.0,0.1
35,Diamond Princess,712,,10.0,2.0,587.0,115,15.0,,
36,Greece,695,,19.0,2.0,29.0,647,35.0,67.0,2.0
37,Indonesia,686,+107,55.0,6.0,30.0,601,,3.0,0.2
38,Iceland,588,,2.0,1.0,51.0,535,14.0,1723.0,6.0
39,Singapore,558,+49,2.0,,156.0,400,14.0,95.0,0.3
40,South Africa,554,+152,,,4.0,550,2.0,9.0,
41,Philippines,552,+90,35.0,2.0,20.0,497,1.0,5.0,0.3
42,India,519,+20,10.0,,40.0,469,,0.4,0.01
43,Qatar,501,,,,37.0,464,6.0,174.0,
44,Russia,495,+57,1.0,,22.0,472,8.0,3.0,0.01
45,Slovenia,442,,4.0,1.0,,438,12.0,213.0,2.0
46,Peru,395,,5.0,,1.0,389,19.0,12.0,0.2
47,Bahrain,390,+13,3.0,1.0,164.0,223,2.0,229.0,2.0
48,Hong Kong,386,+29,4.0,,102.0,280,4.0,51.0,0.5
49,Estonia,369,+17,,,7.0,362,4.0,278.0,
50,Mexico,367,+51,4.0,1.0,4.0,359,1.0,3.0,0.03
51,Egypt,366,,19.0,,68.0,279,,4.0,0.2
52,Croatia,361,+46,1.0,,5.0,355,6.0,88.0,0.2
53,Panama,345,,6.0,,1.0,338,33.0,80.0,1.0
54,Colombia,306,+29,3.0,,6.0,297,,6.0,0.06
55,Lebanon,304,+37,4.0,,8.0,292,4.0,45.0,0.6
56,Argentina,301,,4.0,,51.0,246,,7.0,0.09
57,Iraq,266,,23.0,,62.0,181,,7.0,0.6
58,Serbia,249,,3.0,,3.0,243,12.0,28.0,0.3
59,Dominican Republic,245,,3.0,,3.0,239,,23.0,0.3
60,Armenia,235,,,,2.0,233,6.0,79.0,
61,Algeria,230,,17.0,,65.0,148,,5.0,0.4
62,Taiwan,216,+21,2.0,,29.0,185,,9.0,0.08
63,Slovakia,204,+18,,,7.0,197,2.0,37.0,
64,Bulgaria,202,+1,3.0,,3.0,196,8.0,29.0,0.4
65,UAE,198,,2.0,,41.0,155,2.0,20.0,0.2
66,Latvia,197,+17,,,1.0,196,,104.0,
67,Kuwait,191,+2,,,39.0,152,5.0,45.0,
68,San Marino,187,,21.0,1.0,4.0,162,12.0,5511.0,619.0
69,Hungary,187,+20,9.0,1.0,21.0,157,6.0,19.0,0.9
70,Lithuania,187,+8,1.0,,1.0,185,1.0,69.0,0.4
71,Andorra,164,+31,1.0,,1.0,162,7.0,2123.0,13.0
72,Uruguay,162,,,,,162,3.0,47.0,
73,Costa Rica,158,,2.0,,2.0,154,2.0,31.0,0.4
74,New Zealand,155,+53,,,12.0,143,,32.0,
75,Bosnia and Herzegovina,150,+14,2.0,1.0,2.0,146,1.0,46.0,0.6
76,North Macedonia,148,+12,2.0,,1.0,145,1.0,71.0,1.0
77,Morocco,143,,4.0,,5.0,134,1.0,4.0,0.1
78,Jordan,127,,,,1.0,126,,12.0,
79,Albania,123,+19,5.0,1.0,10.0,108,2.0,43.0,2.0
80,Vietnam,123,,,,17.0,106,3.0,1.0,
81,Faeroe Islands,122,+4,,,23.0,99,,2497.0,
82,Cyprus,116,,1.0,,3.0,112,3.0,96.0,0.8
83,Burkina Faso,114,+15,4.0,,7.0,103,,5.0,0.2
84,Tunisia,114,+25,3.0,,1.0,110,11.0,10.0,0.3
85,Malta,110,+3,,,2.0,108,1.0,249.0,
86,Moldova,109,,1.0,,2.0,106,10.0,27.0,0.2
87,Brunei,104,+13,,,2.0,102,2.0,238.0,
88,Sri Lanka,101,+4,,,2.0,99,2.0,5.0,
89,Ukraine,97,+24,3.0,,1.0,93,,2.0,0.07
90,Cambodia,87,,,,2.0,85,1.0,5.0,
91,Senegal,86,+7,,,8.0,78,,5.0,
92,Oman,84,+18,,,17.0,67,,16.0,
93,Venezuela,84,,,,15.0,69,2.0,3.0,
94,Belarus,81,,,,22.0,59,,9.0,
95,Réunion,75,+4,,,1.0,74,,84.0,
96,Azerbaijan,72,,1.0,,10.0,61,3.0,7.0,0.1
97,Kazakhstan,68,+6,,,,68,,4.0,
98,Georgia,67,+6,,,9.0,58,1.0,17.0,
99,Cameroon,66,+10,,,2.0,64,,2.0,
100,Guadeloupe,62,,1.0,,,61,4.0,155.0,2.0
101,Palestine,60,+1,,,16.0,44,,12.0,
102,Martinique,53,,1.0,,,52,7.0,141.0,3.0
103,Ghana,52,+25,2.0,,,50,,2.0,0.06
104,Trinidad and Tobago,52,+1,,,,52,,37.0,
105,Liechtenstein,51,,,,,51,,1338.0,
106,Uzbekistan,50,+4,,,,50,,1.0,
107,DRC,45,+9,2.0,,,43,,0.5,0.02
108,Afghanistan,42,+2,1.0,,1.0,40,,1.0,0.03
109,Nigeria,42,+2,1.0,,2.0,39,,0.2,0.0
110,Kyrgyzstan,42,+26,,,,42,,6.0,
111,Cuba,40,,1.0,,,39,3.0,4.0,0.09
112,Bangladesh,39,+6,4.0,1.0,5.0,30,,0.2,0.02
113,Puerto Rico,39,+8,2.0,,1.0,36,,14.0,0.7
114,Mauritius,36,,2.0,,,34,1.0,28.0,2.0
115,Channel Islands,36,,,,,36,,207.0,
116,Mayotte,36,+12,,,,36,,132.0,
117,Rwanda,36,,,,,36,,3.0,
118,Honduras,30,,,,,30,,3.0,
119,Guam,29,,1.0,,,28,,172.0,6.0
120,Montenegro,29,+2,1.0,,,28,,46.0,2.0
121,Bolivia,28,+1,,,,28,,2.0,
122,Paraguay,27,+5,2.0,1.0,,25,1.0,4.0,0.3
123,Macao,25,,,,10.0,15,,39.0,
124,Ivory Coast,25,,,,2.0,23,,0.9,
125,Monaco,23,,,,1.0,22,,586.0,
126,French Guiana,23,+3,,,6.0,17,,77.0,
127,French Polynesia,23,+5,,,,23,,82.0,
128,Jamaica,21,+2,1.0,,2.0,18,,7.0,0.3
129,Guatemala,20,,1.0,,,19,,1.0,0.06
130,Guyana,20,,1.0,,,19,,25.0,1.0
131,Isle of Man,20,+7,,,,20,,235.0,
132,Togo,20,+2,,,1.0,19,,2.0,
133,Barbados,17,,,,,17,,59.0,
134,Madagascar,17,+5,,,,17,,0.6,
135,U.S. Virgin Islands,17,,,,,17,,163.0,
136,Kenya,16,,,,,16,,0.3,
137,Gibraltar,15,,,,5.0,10,,445.0,
138,Maldives,13,,,,5.0,8,,24.0,
139,Aruba,12,+3,,,1.0,11,,112.0,
140,Ethiopia,12,+1,,,,12,,0.1,
141,Tanzania,12,,,,,12,,0.2,
142,Mongolia,10,,,,,10,,3.0,
143,New Caledonia,10,+2,,,,10,,35.0,
144,Equatorial Guinea,9,,,,,9,,6.0,
145,Uganda,9,,,,,9,,0.2,
146,Saint Martin,8,,,,,8,,207.0,
147,Seychelles,7,,,,,7,,71.0,
148,Gabon,6,,1.0,,,5,,3.0,0.4
149,Benin,6,,,,,6,,0.5,
150,Bermuda,6,,,,,6,,96.0,
151,Haiti,6,,,,,6,,0.5,
152,Suriname,6,+1,,,,6,,10.0,
153,Cayman Islands,5,,1.0,,,4,,76.0,15.0
154,El Salvador,5,+2,,,,5,,0.8,
155,Curaçao,4,,1.0,,,3,,24.0,6.0
156,Bahamas,4,,,,,4,,10.0,
157,Congo,4,,,,,4,,0.7,
158,Fiji,4,+1,,,,4,,4.0,
159,Greenland,4,,,,,4,,70.0,
160,Guinea,4,,,,,4,,0.3,
161,Namibia,4,,,,,4,,2.0,
162,Eswatini,4,,,,,4,,3.0,
163,Cabo Verde,3,,1.0,1.0,,2,,5.0,2.0
164,Sudan,3,+1,1.0,,,2,,0.07,0.02
165,Zimbabwe,3,,1.0,,,2,,0.2,0.07
166,Angola,3,,,,,3,,0.09,
167,Antigua and Barbuda,3,,,,,3,,31.0,
168,CAR,3,,,,,3,,0.6,
169,Chad,3,+1,,,,3,,0.2,
170,Djibouti,3,,,,,3,,3.0,
171,Liberia,3,,,,,3,,0.6,
172,Niger,3,,,,,3,,0.1,
173,St. Barth,3,,,,,3,,304.0,
174,Saint Lucia,3,,,,,3,,16.0,
175,Zambia,3,,,,,3,,0.2,
176,Gambia,2,,1.0,,,1,,0.8,0.4
177,Nepal,2,,,,1.0,1,,0.07,
178,Bhutan,2,,,,,2,,3.0,
179,Dominica,2,,,,,2,,28.0,
180,Laos,2,+2,,,,2,,0.3,
181,Mauritania,2,,,,,2,,0.4,
182,Myanmar,2,,,,,2,,0.04,
183,Nicaragua,2,,,,,2,,0.3,
184,Sint Maarten,2,,,,,2,,47.0,
185,Belize,1,,,,,1,,3.0,
186,Eritrea,1,,,,,1,,0.3,
187,Grenada,1,,,,,1,,9.0,
188,Vatican City,1,,,,,1,,1248.0,
189,Montserrat,1,,,,,1,,200.0,
190,Mozambique,1,,,,,1,,0.03,
191,Papua New Guinea,1,,,,,1,,0.1,
192,St. Vincent Grenadines,1,,,,,1,,9.0,
193,Somalia,1,,,,,1,,0.06,
194,Syria,1,,,,,1,,0.06,
195,Timor-Leste,1,,,,,1,,0.8,
196,Turks and Caicos,1,,,,,1,,26.0,
197,Total:,394095,15313,17224.0,717.0,103433.0,273438,12187.0,50.6,2.2
