,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80928,34.0,3245.0,8.0,70420.0,7263,2274.0,56.0
1,Italy,35713,,2978.0,,4025.0,28710,2257.0,591.0
2,Iran,17361,,1135.0,,5710.0,10516,,207.0
3,Spain,14769,,638.0,,1081.0,13050,800.0,316.0
4,Germany,12327,,28.0,,105.0,12194,2.0,147.0
5,USA,9416,159.0,154.0,4.0,108.0,9154,64.0,28.0
6,France,9134,,264.0,,602.0,8268,931.0,140.0
7,S. Korea,8565,152.0,91.0,7.0,1947.0,6527,59.0,167.0
8,Switzerland,3115,,33.0,,15.0,3067,,360.0
9,UK,2626,,104.0,,65.0,2457,20.0,39.0
10,Netherlands,2051,,58.0,,2.0,1991,45.0,120.0
11,Austria,1646,,4.0,,9.0,1633,12.0,183.0
12,Norway,1591,,6.0,,1.0,1584,27.0,293.0
13,Belgium,1486,,14.0,,31.0,1441,33.0,128.0
14,Sweden,1301,,10.0,,15.0,1276,12.0,129.0
15,Denmark,1057,,4.0,,1.0,1052,24.0,182.0
16,Japan,923,9.0,32.0,3.0,191.0,700,46.0,7.0
17,Malaysia,790,,2.0,,60.0,728,15.0,24.0
18,Canada,727,,9.0,,12.0,706,1.0,19.0
19,Diamond Princess,712,,7.0,,527.0,178,14.0,
20,Portugal,642,,2.0,,4.0,636,18.0,63.0
21,Australia,596,,6.0,,43.0,547,1.0,23.0
22,Brazil,529,,4.0,,2.0,523,18.0,2.0
23,Czechia,522,,,,3.0,519,5.0,49.0
24,Qatar,452,,,,4.0,448,,157.0
25,Israel,433,,,,11.0,422,6.0,50.0
26,Greece,418,,5.0,,14.0,399,13.0,40.0
27,Ireland,366,,2.0,,5.0,359,6.0,74.0
28,Finland,359,,,,10.0,349,2.0,65.0
29,Singapore,313,,,,117.0,196,14.0,54.0
30,Pakistan,307,,2.0,,13.0,292,,1.0
31,Poland,287,,5.0,,13.0,269,3.0,8.0
32,Slovenia,286,,1.0,,,285,6.0,138.0
33,Romania,260,,,,19.0,241,5.0,14.0
34,Estonia,258,,,,1.0,257,1.0,194.0
35,Bahrain,256,,1.0,,95.0,160,3.0,150.0
36,Iceland,250,,,,5.0,245,1.0,733.0
37,Saudi Arabia,238,,,,6.0,232,,7.0
38,Chile,238,,,,,238,3.0,12.0
39,Indonesia,227,,19.0,,11.0,197,,0.8
40,Thailand,212,,1.0,,42.0,169,1.0,3.0
41,Egypt,210,,6.0,,28.0,176,,2.0
42,Luxembourg,203,,2.0,,,201,1.0,324.0
43,Philippines,202,,17.0,,7.0,178,1.0,2.0
44,Hong Kong,193,,4.0,,95.0,94,4.0,26.0
45,Turkey,191,,2.0,,,189,,2.0
46,India,169,,3.0,,14.0,152,,0.1
47,Ecuador,168,,3.0,,1.0,164,2.0,10.0
48,Iraq,164,,12.0,,41.0,111,,4.0
49,Russia,147,,,,8.0,139,,1.0
