,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,+67,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0
1,Italy,74386,,7503.0,,9362.0,57521,3489.0,1230.0,124.0
2,USA,68594,+383,1036.0,9.0,428.0,67130,1455.0,207.0,3.0
3,Spain,56188,"+6,673",4089.0,442.0,7015.0,45084,3166.0,1202.0,87.0
4,Germany,39502,"+2,179",222.0,16.0,3547.0,35733,23.0,471.0,3.0
5,Iran,29406,"+2,389",2234.0,157.0,10457.0,16715,2746.0,350.0,27.0
6,France,25233,,1331.0,,3900.0,20002,2827.0,387.0,20.0
7,Switzerland,11316,+419,171.0,18.0,131.0,11014,141.0,1308.0,20.0
8,UK,9529,,465.0,,135.0,8929,163.0,140.0,7.0
9,S. Korea,9241,+104,131.0,5.0,4144.0,4966,59.0,180.0,3.0
10,Netherlands,6412,,356.0,,3.0,6053,582.0,374.0,21.0
11,Belgium,6235,"+1,298",220.0,42.0,675.0,5340,605.0,538.0,19.0
12,Austria,6001,+413,42.0,11.0,112.0,5847,28.0,666.0,5.0
13,Portugal,3544,+549,60.0,17.0,43.0,3441,61.0,348.0,6.0
14,Canada,3409,,36.0,,185.0,3188,35.0,90.0,1.0
15,Norway,3246,+162,14.0,,6.0,3226,70.0,599.0,3.0
16,Australia,2806,+130,13.0,2.0,170.0,2623,11.0,110.0,0.5
17,Israel,2666,+297,8.0,3.0,68.0,2590,39.0,308.0,0.9
18,Brazil,2563,+9,60.0,1.0,6.0,2497,18.0,12.0,0.3
19,Sweden,2554,+28,64.0,2.0,16.0,2474,176.0,253.0,6.0
20,Turkey,2433,,59.0,,26.0,2348,136.0,29.0,0.7
21,Malaysia,2031,+235,23.0,3.0,199.0,1809,45.0,63.0,0.7
22,Denmark,1851,+127,41.0,7.0,1.0,1809,94.0,320.0,7.0
23,Czechia,1775,+121,6.0,,10.0,1759,34.0,166.0,0.6
24,Ireland,1564,,9.0,,5.0,1550,39.0,317.0,2.0
25,Luxembourg,1333,,8.0,,6.0,1319,3.0,2129.0,13.0
26,Japan,1307,,45.0,,310.0,952,57.0,10.0,0.4
27,Ecuador,1211,,29.0,,3.0,1179,2.0,69.0,2.0
28,Chile,1142,,3.0,,22.0,1117,7.0,60.0,0.2
29,Pakistan,1123,+60,8.0,,21.0,1094,5.0,5.0,0.04
30,Poland,1085,+34,14.0,,7.0,1064,3.0,29.0,0.4
31,Thailand,1045,+111,4.0,,88.0,953,4.0,15.0,0.06
32,Romania,1029,+123,18.0,1.0,94.0,917,29.0,53.0,0.9
33,Saudi Arabia,1012,+112,3.0,1.0,33.0,976,6.0,29.0,0.09
34,Finland,928,+48,5.0,2.0,10.0,913,22.0,167.0,0.9
35,Indonesia,893,+103,78.0,20.0,35.0,780,,3.0,0.3
36,Russia,840,+182,3.0,,38.0,799,8.0,6.0,0.02
37,Greece,821,,23.0,1.0,36.0,762,53.0,79.0,2.0
38,Iceland,737,,2.0,,56.0,679,11.0,2160.0,6.0
39,India,716,+59,14.0,2.0,45.0,657,,0.5,0.01
40,Diamond Princess,712,,10.0,,597.0,105,15.0,,
41,South Africa,709,,,,12.0,697,2.0,12.0,
42,Philippines,707,+71,45.0,7.0,28.0,634,1.0,6.0,0.4
43,Singapore,631,,2.0,,160.0,469,17.0,108.0,0.3
44,Panama,558,,8.0,,2.0,548,20.0,129.0,2.0
45,Estonia,538,+134,1.0,,8.0,529,6.0,406.0,0.8
46,Qatar,537,,,,41.0,496,6.0,186.0,
47,Slovenia,528,,5.0,,10.0,513,14.0,254.0,2.0
48,Argentina,502,,8.0,,52.0,442,,11.0,0.2
49,Croatia,481,+39,2.0,1.0,22.0,457,14.0,117.0,0.5
50,Peru,480,,9.0,,1.0,470,9.0,15.0,0.3
