,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
16,9,Argentina,"711,325","+8,841","15,749  ",+206,"565,935","+9,446","129,641","3,604","15,704",348,"1,905,361","42,065","45,295,750 ",South America,64,"2,876",24
17,10,South Africa,"670,766","+1,268","16,398 ",+22,"603,721","+1,903","50,647",539,"11,276",276,"4,143,466","69,652","59,487,798 ",Africa,89,"3,628",14
18,11,France,"538,569","+11,123","31,727 ",+27,"94,891",,"411,951","1,098","8,247",486,"10,556,474","161,639","65,308,767 ",Europe,121,"2,058",6
19,12,Chile,"457,901","+1,922","12,641 ",+50,"431,704","+1,445","13,556",888,"23,904",660,"3,228,414","168,535","19,155,801 ",South America,42,"1,515",6
20,13,Iran,"446,448","+3,362","25,589 ",+195,"374,170","+2,119","46,689","4,059","5,299",304,"3,932,571","46,677","84,250,361 ",Asia,189,"3,292",21
21,14,UK,"434,969","+5,693","41,988 ",+17,N/A,N/A,N/A,262,"6,399",618,"23,188,836","341,150","67,972,591 ",Europe,156,"1,619",3
22,15,Bangladesh,"359,148","+1,275","5,161 ",+32,"270,491","+1,714","83,496",,"2,176",31,"1,909,460","11,567","165,084,336 ",Asia,460,"31,987",86
23,16,Iraq,"349,450","+3,481","8,990 ",+55,"280,673","+3,755","59,787",533,"8,642",222,"2,198,859","54,381","40,434,573 ",Asia,116,"4,498",18
24,17,Saudi Arabia,"333,193",+403,"4,683 ",+28,"317,005",+600,"11,505","1,032","9,535",134,"6,348,385","181,678","34,943,001 ",Asia,105,"7,462",6
25,18,Turkey,"314,433","+1,467","7,997 ",+68,"275,630","+1,116","30,806","1,583","3,719",95,"10,037,700","118,709","84,557,198 ",Asia,269,"10,574",8
26,19,Pakistan,"310,275",+694,"6,457 ",+6,"295,613",+280,"8,205",584,"1,398",29,"3,420,654","15,415","221,906,243 ",Asia,715,"34,367",65
27,20,Italy,"309,870","+1,766","35,835 ",+17,"224,417",+724,"49,618",254,"5,127",593,"11,087,064","183,439","60,439,986 ",Europe,195,"1,687",5
28,21,Philippines,"304,226","+2,995","5,344 ",+60,"252,510","+19,630","46,372","1,758","2,767",49,"3,624,620","32,972","109,929,959 ",Asia,361,"20,571",30
29,22,Germany,"286,338","+1,313","9,534 ",+2,"250,800","+1,300","26,004",325,"3,415",114,"15,642,654","186,557","83,849,223 ",Europe,293,"8,795",5
30,23,Indonesia,"275,213","+3,874","10,386 ",+78,"203,014","+3,611","61,813",,"1,004",38,"3,207,055","11,695","274,219,048 ",Asia,996,"26,403",86
31,24,Israel,"231,026","+3,926","1,466 ",+25,"159,931","+2,394","69,629",767,"25,118",159,"3,424,497","372,325","9,197,590 ",Asia,40,"6,274",3
32,25,Ukraine,"198,634","+3,130","3,959 ",+56,"87,882","+1,009","106,793",177,"4,549",91,"2,189,926","50,149","43,668,725 ",Europe,220,"11,030",20
33,26,Canada,"153,125","+1,454","9,268 ",+6,"131,098",+770,"12,759",97,"4,049",245,"7,117,709","188,190","37,821,986 ",North America,247,"4,081",5
34,27,Ecuador,"134,747",+766,"11,279 ",+6,"112,296","+9,444","11,172",355,"7,610",637,"418,785","23,651","17,706,909 ",South America,131,"1,570",42
35,28,Bolivia,"133,592",+370,"7,828 ",+28,"93,406",+538,"32,358",71,"11,407",668,"296,371","25,307","11,711,085 ",South America,88,"1,496",40
36,29,Qatar,"125,084",+234,214 ,,"121,995",+257,"2,875",52,"44,549",76,"760,267","270,769","2,807,805 ",Asia,22,"13,121",4
37,30,Romania,"122,673","+1,438","4,718 ",+31,"98,607","+1,053","19,348",535,"6,387",246,"2,366,178","123,201","19,205,890 ",Europe,157,"4,071",8
38,31,Morocco,"117,685","+2,444","2,069 ",+28,"95,591","+1,441","20,025",369,"3,179",56,"2,553,350","68,981","37,015,500 ",Africa,315,"17,891",14
39,32,Belgium,"112,803","+1,827","9,974 ",+5,"19,246",+62,"83,583",120,"9,723",860,"3,108,977","267,972","11,601,889 ",Europe,103,"1,163",4
40,33,Netherlands,"111,626","+2,995","6,374 ",+8,N/A,N/A,N/A,130,"6,511",372,"2,240,526","130,688","17,144,127 ",Europe,154,"2,690",8
41,34,Dominican Republic,"111,386",+429,"2,095 ",+2,"85,965",+745,"23,326",205,"10,243",193,"470,261","43,246","10,874,092 ",North America,98,"5,190",23
42,35,Panama,"110,555",+447,"2,340 ",+17,"87,215",+419,"21,000",108,"25,527",540,"468,323","108,134","4,330,939 ",North America,39,"1,851",9
43,36,Kazakhstan,"107,723",+64,"1,699 ",,"102,666",+136,"3,358",221,"5,721",90,"2,895,805","153,782","18,830,569 ",Asia,175,"11,083",7
44,37,Kuwait,"103,544",+345,601 ,+4,"94,929",+718,"8,014",109,"24,161",140,"735,918","171,717","4,285,636 ",Asia,41,"7,131",6
45,38,Egypt,"102,840",+104,"5,883 ",+14,"95,080",+706,"1,877",41,"1,000",57,"135,000","1,313","102,791,164 ",Africa,"1,000","17,473",761
46,39,Oman,"97,450","+1,543",909 ,+24,"87,801","+1,036","8,740",200,"18,970",177,"376,700","73,331","5,136,957 ",Asia,53,"5,651",14
47,40,UAE,"91,469",+851,412 ,+1,"80,544",+868,"10,513",,"9,222",42,"9,426,811","950,374","9,919,053 ",Asia,108,"24,075",1
48,41,Sweden,"90,923",,"5,880 ",,N/A,N/A,N/A,15,"8,989",581,"1,532,632","151,528","10,114,527 ",Europe,111,"1,720",7
49,42,Guatemala,"90,092",+390,"3,229 ",+16,"78,698",+414,"8,165",5,"5,007",179,"314,086","17,455","17,994,051 ",North America,200,"5,573",57
50,43,Poland,"87,330","+1,350","2,432 ",+8,"67,904",+578,"16,994",124,"2,308",64,"3,267,844","86,368","37,836,435 ",Europe,433,"15,558",12
51,44,Japan,"81,690",+635,"1,545 ",+5,"74,607",+456,"5,538",160,646,12,"1,951,249","15,439","126,381,092 ",Asia,"1,547","81,800",65
52,45,Belarus,"77,609",+320,818 ,+5,"74,120",+74,"2,671",,"8,214",87,"1,825,481","193,202","9,448,561 ",Europe,122,"11,551",5
53,46,Honduras,"74,548",+708,"2,288 ",+17,"26,088",+360,"46,172",15,"7,498",230,"175,053","17,607","9,942,102 ",North America,133,"4,345",57
54,47,Portugal,"73,604",+665,"1,953 ",+9,"47,647",+267,"24,004",89,"7,224",192,"2,501,955","245,545","10,189,388 ",Europe,138,"5,217",4
55,48,Nepal,"73,394","+1,573",477 ,+10,"53,898",+885,"19,019",,"2,508",16,"988,327","33,776","29,261,038 ",Asia,399,"61,344",30
56,49,Ethiopia,"73,332",+632,"1,170 ",+5,"30,363",+334,"41,799",249,634,10,"1,256,182","10,864","115,629,543 ",Africa,"1,577","98,829",92
57,50,Venezuela,"72,691",+751,606 ,+6,"62,427",+899,"9,658",208,"2,558",21,"1,936,520","68,149","28,416,102 ",South America,391,"46,891",15
58,51,Costa Rica,"72,049",,828 ,,"27,760",,"43,461",238,"14,112",162,"219,823","43,058","5,105,333 ",North America,71,"6,166",23
59,52,Bahrain,"69,361",+586,242 ,+3,"62,887",+635,"6,232",61,"40,441",141,"1,407,572","820,684","1,715,120 ",Asia,25,"7,087",1
60,53,Czechia,"64,597","+1,303",606 ,+15,"31,268",+332,"32,723",181,"6,029",57,"1,325,289","123,699","10,713,834 ",Europe,166,"17,680",8
61,54,Nigeria,"58,324",+126,"1,108 ",+2,"49,794",+72,"7,422",7,281,5,"505,556","2,438","207,334,390 ",Africa,"3,555","187,125",410
62,55,Singapore,"57,700",+15,27 ,,"57,367",+8,306,,"9,844",5,"2,692,047","459,279","5,861,460 ",Asia,102,"217,091",2
63,56,Uzbekistan,"55,320",+501,458 ,+6,"51,829",+507,"3,033",283,"1,647",14,"1,377,915","41,028","33,584,970 ",Asia,607,"73,330",24
64,57,Switzerland,"51,864",,"2,064 ",,"42,700",+100,"7,100",38,"5,982",238,"1,326,290","152,976","8,669,932 ",Europe,167,"4,201",7
65,58,Algeria,"51,067",+153,"1,714 ",+3,"35,860",+104,"13,493",22,"1,160",39,,,"44,038,727 ",Africa,862,"25,694",
66,59,Moldova,"50,875",+341,"1,287 ",+8,"37,842",+402,"11,746",592,"12,619",319,"260,492","64,612","4,031,657 ",Europe,79,"3,133",15
67,60,Armenia,"49,400",+328,951 ,+3,"43,613",+37,"4,836",,"16,663",321,"284,226","95,873","2,964,596 ",Asia,60,"3,117",10
68,61,Ghana,"46,387",+165,299 ,,"45,618",+201,470,6,"1,486",10,"477,192","15,282","31,225,822 ",Africa,673,"104,434",65
69,62,Kyrgyzstan,"46,251",+161,"1,063 ",,"42,453",+151,"2,735",24,"7,061",162,"267,718","40,874","6,549,786 ",Asia,142,"6,162",24
70,63,Austria,"42,876",+662,787 ,,"33,589",+435,"8,500",84,"4,754",87,"1,555,499","172,472","9,018,864 ",Europe,210,"11,460",6
71,64,Azerbaijan,"40,023",+128,586 ,+1,"37,655",+132,"1,782",,"3,939",58,"1,102,401","108,491","10,161,214 ",Asia,254,"17,340",9
72,65,Afghanistan,"39,227",+35,"1,453 ",,"32,642",+7,"5,132",93,"1,002",37,"110,135","2,814","39,134,310 ",Asia,998,"26,933",355
73,66,Palestine,"38,703",+450,291 ,+6,"29,068","+1,364","9,344",,"7,546",57,"409,770","79,889","5,129,233 ",Asia,133,"17,626",13
74,67,Kenya,"38,115",+244,691 ,+2,"24,621",+40,"12,803",44,705,13,"540,308","9,996","54,049,830 ",Africa,"1,418","78,220",100
75,68,Paraguay,"37,922",,782 ,,"21,757",,"15,383",155,"5,301",109,"267,062","37,333","7,153,536 ",South America,189,"9,148",27
76,69,Lebanon,"36,254","+1,012",347 ,+7,"16,089",+655,"19,818",173,"5,317",51,"806,085","118,231","6,817,898 ",Asia,188,"19,648",8
77,70,Ireland,"34,990",+430,"1,802 ",,"23,364",,"9,824",19,"7,067",364,"1,133,275","228,897","4,951,033 ",Europe,141,"2,748",4
78,71,Serbia,"33,384",+72,747 ,+1,"31,536",,"1,101",21,"3,825",86,"1,115,095","127,751","8,728,688 ",Europe,261,"11,685",8
79,72,Libya,"32,364",+536,520 ,+21,"18,128",+296,"13,716",,"4,695",75,"201,572","29,240","6,893,630 ",Africa,213,"13,257",34
80,73,El Salvador,"28,630",+215,826 ,,"22,879",+236,"4,925",47,"4,409",127,"383,771","59,095","6,494,154 ",North America,227,"7,862",17
81,74,Australia,"27,040",+24,872 ,+2,"24,573",+2,"1,595",12,"1,057",34,"7,543,756","295,013","25,570,885 ",Australia/Oceania,946,"29,324",3
82,75,Bosnia and Herzegovina,"26,920",+123,822 ,+2,"19,746",,"6,352",,"8,218",251,"232,973","71,120","3,275,766 ",Europe,122,"3,985",14
83,76,Denmark,"26,637",+424,649 ,+1,"19,650",+300,"6,338",28,"4,595",112,"3,710,734","640,094","5,797,170 ",Europe,218,"8,932",2
84,77,Hungary,"24,014",+937,736 ,+6,"5,141",+42,"18,137",38,"2,487",76,"690,408","71,513","9,654,314 ",Europe,402,"13,117",14
85,78,S. Korea,"23,611",+95,401 ,+2,"21,248",+82,"1,962",124,460,8,"2,296,517","44,784","51,279,981 ",Asia,"2,172","127,880",22
86,79,Cameroon,"20,735",,418 ,,"19,440",,877,30,777,16,"149,000","5,580","26,700,356 ",Africa,"1,288","63,876",179
87,80,Bulgaria,"20,055",+58,796 ,+7,"14,176",+16,"5,083",41,"2,892",115,"516,311","74,445","6,935,465 ",Europe,346,"8,713",13
88,81,Ivory Coast,"19,629",+29,120 ,,"19,163",+41,346,,740,5,"160,192","6,038","26,531,034 ",Africa,"1,352","221,092",166
89,82,North Macedonia,"17,629",+146,725 ,+3,"14,581",+65,"2,323",5,"8,462",348,"185,321","88,953","2,083,353 ",Europe,118,"2,874",11
90,83,Greece,"17,444",+216,379 ,+3,"9,989",,"7,076",68,"1,676",36,"1,278,587","122,817","10,410,475 ",Europe,597,"27,468",8
91,84,Madagascar,"16,285",+28,229 ,,"14,922",,"1,134",17,585,8,"69,988","2,512","27,857,179 ",Africa,"1,711","121,647",398
92,85,Croatia,"16,197",+190,272 ,+3,"14,609",+204,"1,316",23,"3,951",66,"292,969","71,473","4,098,999 ",Europe,253,"15,070",14
93,86,Tunisia,"16,114","+1,722",214 ,+23,"5,032",,"10,868",74,"1,360",18,"225,033","18,993","11,848,359 ",Africa,735,"55,366",53
94,87,Senegal,"14,909",+40,308 ,+2,"12,113",+85,"2,488",13,885,18,"174,039","10,331","16,846,782 ",Africa,"1,130","54,697",97
95,88,Zambia,"14,641",+29,332 ,,"13,784",+57,525,,791,18,"151,397","8,182","18,503,561 ",Africa,"1,264","55,734",122
96,89,Norway,"13,698",+71,270 ,,"11,190",,"2,238",2,"2,522",50,"1,011,121","186,159","5,431,485 ",Europe,397,"20,117",5
97,90,Sudan,"13,606",,836 ,,"6,764",,"6,006",,309,19,,,"44,089,381 ",Africa,"3,240","52,738",
98,91,Albania,"13,259",+106,377 ,+2,"7,397",,"5,485",18,"4,609",131,"80,323","27,919","2,877,026 ",Europe,217,"7,631",36
99,92,Namibia,"11,033",+115,120 ,,"8,776",+27,"2,137",14,"4,324",47,"95,894","37,579","2,551,811 ",Africa,231,"21,265",27
100,93,Malaysia,"10,919",+150,134 ,+1,"9,835",+50,950,6,336,4,"1,451,697","44,715","32,465,288 ",Asia,"2,973","242,278",22
101,94,Myanmar,"10,734",+743,226 ,+28,"2,862",+181,"7,646",,197,4,"245,154","4,498","54,498,127 ",Asia,"5,077","241,142",222
102,95,DRC,"10,612",+19,271 ,,"10,093",,248,,118,3,,,"90,190,779 ",Africa,"8,499","332,807",
103,96,Guinea,"10,580",+68,66 ,+1,"9,892",+56,622,24,801,5,"32,458","2,456","13,215,699 ",Africa,"1,249","200,238",407
104,97,Montenegro,"10,313",+116,158 ,,"6,456",+88,"3,699",17,"16,420",252,"67,258","107,084","628,085 ",Europe,61,"3,975",9
105,98,Maldives,"10,098",+53,34 ,,"8,847",+93,"1,217",12,"18,603",63,"149,135","274,750","542,802 ",Asia,54,"15,965",4
106,99,French Guiana,"9,863",,65 ,,"9,500",,298,6,"32,823",216,"65,214","217,027","300,488 ",South America,30,"4,623",5
107,100,Finland,"9,682",+105,343 ,,"7,850",,"1,489",2,"1,747",62,"960,659","173,316","5,542,823 ",Europe,572,"16,160",6
108,101,Tajikistan,"9,646",+41,75 ,,"8,430",+45,"1,141",,"1,006",8,,,"9,587,978 ",Asia,994,"127,840",
109,102,Slovakia,"9,078",+478,44 ,,"4,178",+80,"4,856",31,"1,663",8,"445,986","81,678","5,460,289 ",Europe,601,"124,097",12
110,103,Gabon,"8,728",,54 ,,"7,934",,740,2,"3,900",24,"163,264","72,949","2,238,045 ",Africa,256,"41,445",14
111,104,Haiti,"8,723",,227 ,,"6,551",,"1,945",,763,20,"27,444","2,400","11,435,849 ",North America,"1,311","50,378",417
112,105,Jordan,"8,492",+431,45 ,+2,"4,222",+91,"4,225",13,830,4,"1,170,897","114,485","10,227,518 ",Asia,"1,204","227,278",9
113,106,Luxembourg,"8,357",+46,124 ,,"6,976",,"1,257",1,"13,299",197,"817,514","1,300,945","628,400 ",Europe,75,"5,068",1
114,107,Mozambique,"7,983",+226,58 ,+4,"4,807",+38,"3,118",,254,2,"134,011","4,260","31,458,856 ",Africa,"3,941","542,394",235
115,108,Zimbabwe,"7,812",+9,227 ,,"6,106",+39,"1,479",,524,15,"159,274","10,679","14,914,556 ",Africa,"1,909","65,703",94
116,109,Uganda,"7,530",+166,73 ,+2,"3,647",,"3,810",,163,2,"473,456","10,276","46,074,078 ",Africa,"6,119","631,152",97
117,110,Mauritania,"7,464",+2,161 ,,"7,070",,233,3,"1,596",34,"79,404","16,973","4,678,151 ",Africa,627,"29,057",59
118,111,Jamaica,"6,017",+163,89 ,+1,"1,706",+82,"4,222",6,"2,030",30,"76,748","25,891","2,964,310 ",North America,493,"33,307",39
119,112,Cabo Verde,"5,771",+70,57 ,+1,"5,031",+13,683,,"10,353",102,"76,576","137,371","557,438 ",Africa,97,"9,780",7
120,113,Malawi,"5,768",+2,179 ,,"4,206",+21,"1,383",4,300,9,"52,730","2,740","19,245,302 ",Africa,"3,337","107,516",365
121,114,Cuba,"5,457",+45,122 ,+2,"4,751",+19,584,7,482,11,"591,921","52,267","11,324,920 ",North America,"2,075","92,827",19
122,115,Eswatini,"5,431",+12,108 ,,"4,821",+19,502,11,"4,670",93,"31,969","27,487","1,163,053 ",Africa,214,"10,769",36
123,116,Djibouti,"5,409",,61 ,,"5,340",,8,,"5,456",62,"76,076","76,734","991,429 ",Africa,183,"16,253",13
124,117,Slovenia,"5,350",+159,147 ,+1,"3,555",+98,"1,648",31,"2,573",71,"218,816","105,250","2,079,008 ",Europe,389,"14,143",10
125,118,Georgia,"5,254",+294,28 ,,"1,906",+87,"3,320",,"1,318",7,"571,486","143,327","3,987,285 ",Asia,759,"142,403",7
126,119,Nicaragua,"5,073",,149 ,,"2,913",,"2,011",,764,22,,,"6,643,458 ",North America,"1,310","44,587",
127,120,Hong Kong,"5,066",+6,105 ,,"4,786",+9,175,11,674,14,"3,311,279","440,818","7,511,672 ",Asia,"1,483","71,540",2
128,121,Equatorial Guinea,"5,028",,83 ,,"4,740",,205,4,"3,557",59,"59,706","42,237","1,413,584 ",Africa,281,"17,031",24
129,122,Congo,"5,008",+3,89 ,,"3,887",,"1,032",,902,16,,,"5,549,860 ",Africa,"1,108","62,358",
130,123,Suriname,"4,835",+4,102 ,,"4,661",+41,72,6,"8,224",173,"13,694","23,293","587,900 ",South America,122,"5,764",43
131,124,Rwanda,"4,820",+9,29 ,,"3,099",+8,"1,692",,370,2,"488,942","37,532","13,027,301 ",Africa,"2,703","449,217",27
132,125,CAR,"4,806",,62 ,,"1,840",,"2,904",2,991,13,"32,059","6,611","4,849,697 ",Africa,"1,009","78,221",151
133,126,Angola,"4,718",+46,174 ,+3,"1,707",+68,"2,837",8,143,5,"85,213","2,574","33,102,237 ",Africa,"7,016","190,243",388
134,127,Guadeloupe,"4,487",,42 ,,"2,199",,"2,246",24,"11,214",105,"47,049","117,581","400,141 ",North America,89,"9,527",9
135,128,Lithuania,"4,385",+90,91 ,+2,"2,327",+8,"1,967",,"1,616",34,"760,251","280,249","2,712,765 ",Europe,619,"29,811",4
136,129,Trinidad and Tobago,"4,362",+50,71 ,+1,"2,234",+49,"2,057",13,"3,114",51,"30,679","21,904","1,400,592 ",North America,321,"19,727",46
137,130,Syria,"4,072",+34,192 ,+4,"1,062",+14,"2,818",,231,11,,,"17,600,176 ",Asia,"4,322","91,668",
138,131,Aruba,"3,844",+12,25 ,,"2,948",+119,871,11,"35,967",234,"30,640","286,687","106,876 ",North America,28,"4,275",3
139,132,Bahamas,"3,838",+48,89 ,,"2,005",+6,"1,744",79,"9,737",226,"19,026","48,271","394,149 ",North America,103,"4,429",21
140,133,Réunion,"3,685",,11 ,,"2,819",,855,17,"4,109",12,"35,419","39,492","896,858 ",Africa,243,"81,533",25
141,134,Somalia,"3,588",,99 ,,"2,946",+3,543,,224,6,,,"15,996,252 ",Africa,"4,458","161,578",
142,135,Gambia,"3,569",+14,111 ,+1,"2,161",+127,"1,297",,"1,467",46,"17,472","7,183","2,432,437 ",Africa,682,"21,914",139
143,136,Mayotte,"3,541",,40 ,,"2,964",,537,2,"12,907",146,"13,000","47,384","274,356 ",Africa,77,"6,859",21
144,137,Thailand,"3,523",+1,59 ,,"3,367",+5,97,1,50,0.8,"749,213","10,727","69,842,709 ",Asia,"19,825","1,183,775",93
145,138,Sri Lanka,"3,360",+11,13 ,,"3,208",+22,139,,157,0.6,"282,197","13,165","21,435,089 ",Asia,"6,379","1,648,853",76
146,139,Estonia,"3,200",+35,64 ,,"2,506",+7,630,,"2,412",48,"204,899","154,436","1,326,753 ",Europe,415,"20,731",6
147,140,Mali,"3,086",+6,130 ,,"2,420",+10,536,,151,6,"52,655","2,583","20,386,110 ",Africa,"6,606","156,816",387
148,141,Malta,"2,979",+21,31 ,,"2,358",+54,590,,"6,742",70,"247,354","559,840","441,830 ",Europe,148,"14,253",2
149,142,Botswana,"2,921",,16 ,,701,,"2,204",1,"1,236",7,"179,742","76,071","2,362,834 ",Africa,809,"147,677",13
150,143,Guyana,"2,772",+47,76 ,+2,"1,564",+29,"1,132",12,"3,520",97,"13,589","17,256","787,474 ",South America,284,"10,362",58
151,144,South Sudan,"2,686",+10,49 ,,"1,290",,"1,347",,239,4,"12,044","1,073","11,225,212 ",Africa,"4,179","229,086",932
152,145,Iceland,"2,623",+22,10 ,,"2,158",+2,455,1,"7,675",29,"273,448","800,073","341,779 ",Europe,130,"34,178",1
153,146,Benin,"2,340",+15,40 ,,"1,960",,340,,192,3,"194,235","15,924","12,197,244 ",Africa,"5,212","304,931",63
154,147,Guinea-Bissau,"2,324",,39 ,,"1,549",,736,5,"1,174",20,,,"1,978,904 ",Africa,852,"50,741",
155,148,Sierra Leone,"2,215",+7,72 ,,"1,681",+2,462,,276,9,,,"8,015,260 ",Africa,"3,619","111,323",
156,149,Yemen,"2,030",,587 ,,"1,266",+6,177,,68,20,,,"29,980,442 ",Asia,"14,769","51,074",
157,150,Burkina Faso,"2,008",+35,56 ,,"1,276",+12,676,,95,3,,,"21,036,590 ",Africa,"10,476","375,653",
158,151,Uruguay,"2,008",+10,47 ,,"1,728",+12,233,2,578,14,"229,518","66,017","3,476,662 ",South America,"1,731","73,972",15
159,152,Andorra,"1,836",,53 ,,"1,263",,520,9,"23,753",686,"137,457","1,778,343","77,295 ",Europe,42,"1,458",1
160,153,New Zealand,"1,833",+2,25 ,,"1,749",+4,59,1,366,5,"948,942","189,709","5,002,100 ",Australia/Oceania,"2,729","200,084",5
161,154,Belize,"1,825",+17,24 ,+1,"1,165",+31,636,2,"4,570",60,"14,189","35,531","399,339 ",North America,219,"16,639",28
162,155,Togo,"1,743",+7,46 ,,"1,330",+11,367,,209,6,"89,059","10,699","8,324,223 ",Africa,"4,776","180,961",93
163,156,Cyprus,"1,696",+12,22 ,,"1,369",,305,1,"1,402",18,"370,892","306,653","1,209,485 ",Asia,713,"54,977",3
164,157,Latvia,"1,676",+22,36 ,,"1,304",,336,,891,19,"310,832","165,249","1,880,994 ",Europe,"1,122","52,250",6
165,158,French Polynesia,"1,579",,6 ,,"1,335",,238,8,"5,613",21,"26,355","93,689","281,302 ",Australia/Oceania,178,"46,884",11
166,159,Lesotho,"1,558",,35 ,,797,,726,,726,16,"18,322","8,536","2,146,352 ",Africa,"1,378","61,324",117
167,160,Liberia,"1,339",+1,82 ,,"1,221",,36,,263,16,,,"5,085,553 ",Africa,"3,798","62,019",
168,161,Martinique,"1,290",,20 ,,98,,"1,172",9,"3,438",53,"34,717","92,531","375,194 ",North America,291,"18,760",11
169,162,Niger,"1,196",+2,69 ,,"1,107",,20,,49,3,"22,022",902,"24,406,687 ",Africa,"20,407","353,720","1,108"
170,163,Chad,"1,178",+1,84 ,+1,"1,005",,89,,71,5,,,"16,535,203 ",Africa,"14,037","196,848",
171,164,Vietnam,"1,074",+5,35 ,,999,,40,,11,0.4,"1,009,145","10,345","97,549,775 ",Asia,"90,828","2,787,136",97
172,165,Sao Tome and Principe,911,,15 ,,883,,13,,"4,139",68,"4,814","21,870","220,123 ",Africa,242,"14,675",46
173,166,San Marino,727,,42 ,,676,,9,3,"21,415","1,237","7,602","223,931","33,948 ",Europe,47,808,4
174,167,Diamond Princess,712,,13 ,,651,,48,4,,,,, ,,,,
175,168,Turks and Caicos,681,+1,5 ,,620,+3,56,4,"17,533",129,"3,089","79,527","38,842 ",North America,57,"7,768",13
176,169,Channel Islands,656,,48 ,,600,,8,2,"3,765",275,"123,884","710,960","174,249 ",Europe,266,"3,630",1
177,170,Sint Maarten,633,+6,22 ,,532,,79,6,"14,723",512,"2,986","69,453","42,993 ",North America,68,"1,954",14
178,171,Papua New Guinea,532,,7 ,,516,,9,,59,0.8,"23,777","2,646","8,987,125 ",Australia/Oceania,"16,893","1,283,875",378
179,172,Taiwan,510,,7 ,,480,,23,,21,0.3,"93,181","3,911","23,827,305 ",Asia,"46,720","3,403,901",256
180,173,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,129,082 ",Africa,"118,132","2,863,290",
181,174,Burundi,485,,1 ,,472,,12,,41,0.08,"37,522","3,134","11,972,749 ",Africa,"24,686","11,972,749",319
182,175,Comoros,478,,7 ,,458,,13,,547,8,,,"873,963 ",Africa,"1,828","124,852",
183,176,Faeroe Islands,460,, ,,423,+6,37,1,"9,405",,"127,384","2,604,564","48,908 ",Europe,106,,0
184,177,Saint Martin,383,+16,8 ,,273,,102,11,"9,865",206,"3,834","98,756","38,823 ",North America,101,"4,853",10
185,178,Gibraltar,379,+7, ,,341,+6,38,,"11,250",,"45,726","1,357,298","33,689 ",Europe,89,,1
186,179,Eritrea,375,, ,,341,,34,,105,,,,"3,558,150 ",Africa,"9,488",,
187,180,Mauritius,367,,10 ,,343,,14,,288,8,"246,326","193,609","1,272,284 ",Africa,"3,467","127,228",5
