,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80824,+11,3189.0,13.0,65543.0,12092,4020.0,56.2
1,Italy,17660,"+2,547",1266.0,250.0,1439.0,14955,1328.0,292.1
2,Iran,11364,"+1,289",514.0,85.0,3529.0,7321,,135.3
3,S. Korea,8086,+217,72.0,6.0,714.0,7300,59.0,157.7
4,Spain,5232,"+2,086",133.0,47.0,193.0,4906,272.0,111.9
5,Germany,3675,+930,8.0,2.0,46.0,3621,9.0,43.9
6,France,3661,+785,79.0,18.0,12.0,3570,154.0,56.1
7,USA,2291,+594,50.0,9.0,41.0,2200,10.0,6.9
8,Switzerland,1139,+271,11.0,4.0,4.0,1124,,131.6
9,Norway,996,+196,1.0,,1.0,994,27.0,183.7
10,Sweden,814,+127,1.0,,1.0,812,2.0,80.6
11,Netherlands,804,+190,10.0,5.0,2.0,792,45.0,46.9
12,Denmark,804,+130,,,1.0,803,2.0,138.8
13,UK,798,+208,11.0,1.0,18.0,769,20.0,11.8
14,Japan,734,+43,21.0,2.0,118.0,595,29.0,5.8
15,Diamond Princess,696,,7.0,,325.0,364,32.0,
16,Belgium,559,+160,3.0,,1.0,555,2.0,48.2
17,Austria,504,+143,1.0,,6.0,497,1.0,56.0
18,Qatar,320,+58,,,,320,,111.1
19,Bahrain,210,+13,,,44.0,166,1.0,123.4
20,Singapore,200,+13,,,97.0,103,11.0,34.2
21,Australia,199,+43,3.0,,26.0,170,1.0,7.8
22,Canada,198,+56,1.0,,11.0,186,1.0,5.2
23,Malaysia,197,+39,,,32.0,165,4.0,6.1
24,Greece,190,+73,1.0,,2.0,187,2.0,18.2
25,Finland,155,+46,,,1.0,154,,28.0
26,Brazil,151,+74,,,1.0,150,2.0,0.7
27,Israel,143,+34,,,4.0,139,3.0,16.5
28,Czechia,141,+25,,,,141,2.0,13.2
29,Slovenia,141,+45,,,,141,4.0,67.8
30,Iceland,134,+17,,,,134,,
31,Hong Kong,132,+1,4.0,1.0,78.0,50,4.0,17.6
32,Portugal,112,+34,,,1.0,111,1.0,11.0
33,Iraq,101,+18,9.0,1.0,24.0,68,,2.5
34,Kuwait,100,+20,,,5.0,95,4.0,23.4
35,Romania,95,+36,,,7.0,88,1.0,4.9
36,Egypt,93,+13,2.0,,27.0,64,,0.9
