,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80282,131.0,2981.0,38.0,27298,50003.0,6416.0
1,S. Korea,5621,435.0,35.0,3.0,5545,41.0,27.0
2,Italy,3089,587.0,107.0,28.0,2706,276.0,295.0
3,Iran,2922,586.0,92.0,15.0,2278,552.0,
4,Diamond Princess,706,,6.0,,488,212.0,35.0
5,Japan,331,38.0,6.0,,282,43.0,29.0
6,France,285,73.0,4.0,,269,12.0,10.0
7,Germany,262,59.0,,,246,16.0,2.0
8,Spain,228,63.0,2.0,1.0,224,2.0,3.0
9,USA,149,25.0,11.0,2.0,129,9.0,8.0
10,Singapore,110,,,,32,78.0,7.0
11,Hong Kong,103,2.0,2.0,,64,37.0,6.0
12,Switzerland,93,35.0,,,90,3.0,
13,U.K.,87,36.0,,,79,8.0,
14,Norway,59,26.0,,,59,,
15,Kuwait,56,,,,56,,
16,Bahrain,52,3.0,,,51,1.0,
17,Sweden,52,22.0,,,51,1.0,
18,Australia,50,11.0,2.0,1.0,27,21.0,1.0
19,Malaysia,50,14.0,,,28,22.0,
20,Thailand,43,,1.0,,12,30.0,1.0
21,Taiwan,42,,1.0,,29,12.0,
22,Netherlands,38,15.0,,,38,,1.0
23,Iraq,35,3.0,,,35,,
24,Canada,33,3.0,,,26,7.0,
25,Austria,29,5.0,,,29,,
26,India,28,21.0,,,25,3.0,
27,U.A.E.,27,,,,22,5.0,2.0
28,Iceland,26,12.0,,,25,1.0,
29,Belgium,23,8.0,,,22,1.0,1.0
30,San Marino,16,6.0,1.0,,15,,3.0
31,Vietnam,16,,,,0,16.0,
32,Denmark,15,5.0,,,15,,
33,Israel,15,3.0,,,14,1.0,
34,Lebanon,15,2.0,,,15,,
35,Oman,15,3.0,,,13,2.0,
36,Algeria,12,4.0,,,12,,
37,Macao,10,,,,1,9.0,
38,Ecuador,10,3.0,,,10,,1.0
39,Croatia,9,,,,9,,
40,Greece,9,2.0,,,9,,
41,Czechia,8,3.0,,,8,,
42,Qatar,8,,,,8,,
43,Finland,7,,,,6,1.0,
44,Belarus,6,2.0,,,6,,
45,Mexico,6,,,,5,1.0,
46,Romania,6,2.0,,,5,1.0,
47,Pakistan,5,,,,5,,
48,Portugal,5,1.0,,,5,,
49,Brazil,4,2.0,,,4,,
50,Senegal,4,2.0,,,4,,
51,Philippines,3,,1.0,,0,2.0,
52,Azerbaijan,3,,,,3,,
53,Georgia,3,,,,3,,
54,New Zealand,3,1.0,,,3,,
55,Russia,3,,,,1,2.0,
56,Egypt,2,,,,1,1.0,
57,Estonia,2,,,,2,,
58,Indonesia,2,,,,2,,
59,Ireland,2,,,,2,,
60,Saudi Arabia,2,1.0,,,2,,
61,Chile,2,1.0,,,2,,
62,Hungary,2,2.0,,,2,,
63,Afghanistan,1,,,,1,,
64,Andorra,1,,,,1,,
65,Armenia,1,,,,1,,
66,Cambodia,1,,,,0,1.0,
67,Dominican Republic,1,,,,1,,
68,Jordan,1,,,,1,,
69,Latvia,1,,,,1,,
70,Lithuania,1,,,,1,,
71,Luxembourg,1,,,,1,,
72,North Macedonia,1,,,,1,,
73,Monaco,1,,,,1,,
74,Morocco,1,,,,1,,
75,Nepal,1,,,,0,1.0,
76,Nigeria,1,,,,1,,
77,Sri Lanka,1,,,,0,1.0,
78,Tunisia,1,,,,1,,
79,Ukraine,1,,,,1,,
80,Argentina,1,,,,1,,
81,Liechtenstein,1,,,,1,,
82,Poland,1,1.0,,,1,,
83,Total:,95161,2259.0,3252.0,88.0,40474,51435.0,6848.0
