,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,75467,891.0,2236.0,118.0,18640.0,12017.0,Asia
1,Diamond Princess,634,,2.0,,17.0,27.0,
2,S. Korea,204,93.0,2.0,1.0,17.0,,Asia
3,Japan,106,12.0,1.0,,20.0,5.0,Asia
4,Singapore,85,,,,37.0,4.0,Asia
5,Hong Kong,69,,2.0,,6.0,6.0,Asia
6,Thailand,35,,,,19.0,2.0,Asia
7,USA *,27,12.0,,,6.0,,N.America
8,Taiwan,26,2.0,1.0,,2.0,1.0,Asia
9,Malaysia,22,,,,17.0,,Asia
10,Iran,18,13.0,4.0,2.0,,,Asia
11,Australia,17,,,,11.0,,Oceania
12,Germany,16,,,,13.0,,Europe
13,Vietnam,16,,,,15.0,,Asia
14,France,12,,1.0,,7.0,,Europe
15,Macao,10,,,,6.0,,Asia
16,Canada,9,1.0,,,3.0,,N.America
17,Italy,9,5.0,,,,3.0,Europe
18,U.K.,9,,,,8.0,,Europe
19,U.A.E.,9,,,,3.0,1.0,Asia
20,Philippines,3,,1.0,,2.0,,Asia
21,India,3,,,,3.0,,Asia
22,Russia,2,,,,2.0,,Europe
23,Spain,2,,,,2.0,,Europe
24,Belgium,1,,,,1.0,,Europe
25,Cambodia,1,,,,1.0,,Asia
26,Egypt,1,,,,1.0,,Africa
27,Finland,1,,,,1.0,,Europe
28,Israel,1,1.0,,,,,Asia
29,Nepal,1,,,,1.0,,Asia
30,Sri Lanka,1,,,,1.0,,Asia
31,Sweden,1,,,,,,Europe
