,Country,Cases,Deaths,Region
0,China,7801,170,Asia
1,Thailand,14,0,Asia
2,Hong Kong,10,0,Asia
3,Taiwan,8,0,Asia
4,Macau,7,0,Asia
5,Malaysia,8,0,Asia
6,Singapore,10,0,Asia
7,Japan,11,0,Asia
8,Australia,8,0,Oceania
9,United States,5,0,America
10,South Korea,6,0,Asia
11,France,5,0,Europe
12,Germany,4,0,Europe
13,Canada,3,0,America
14,Vietnam,5,0,Asia
15,Cambodia,1,0,Asia
16,Nepal,1,0,Asia
17,United Arab Emirates,4,0,Middle East
18,Finland,1,0,Europe
19,Philippines,1,0,Asia
20,India,1,0,Asia
21,Sri Lanka,1,0,Asia
