,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80790,+12,3158.0,,61617.0,16015,4492.0,56.1
1,Italy,12462,"+2,313",827.0,196.0,1045.0,10590,1028.0,206.1
2,Iran,9000,+958,354.0,63.0,2959.0,5687,,107.2
3,S. Korea,7755,+242,60.0,,288.0,7407,54.0,151.3
4,France,2281,+497,48.0,15.0,12.0,2221,105.0,34.9
5,Spain,2277,+582,55.0,19.0,183.0,2039,126.0,48.7
6,Germany,1908,+343,3.0,1.0,25.0,1880,9.0,22.8
7,USA,1301,+307,38.0,8.0,15.0,1248,10.0,3.9
8,Diamond Princess,696,,7.0,,325.0,364,32.0,
9,Switzerland,652,+155,4.0,1.0,4.0,644,,75.3
10,Japan,639,+52,15.0,3.0,118.0,506,26.0,5.1
11,Norway,629,+229,,,1.0,628,,116.0
12,Denmark,514,+252,,,1.0,513,,88.7
13,Netherlands,503,+121,5.0,1.0,,498,1.0,29.4
14,Sweden,500,+145,1.0,1.0,1.0,498,2.0,49.5
15,UK,456,+73,8.0,2.0,18.0,430,,6.7
16,Belgium,314,+47,3.0,3.0,1.0,310,2.0,27.1
17,Qatar,262,+238,,,,262,,90.9
18,Austria,246,+64,,,4.0,242,1.0,27.3
19,Bahrain,195,+85,,,35.0,160,1.0,114.6
20,Singapore,178,+12,,,96.0,82,12.0,30.4
21,Malaysia,149,+20,,,26.0,123,2.0,4.6
22,Australia,127,+11,3.0,,24.0,100,1.0,5.0
23,Hong Kong,126,+5,3.0,,60.0,63,6.0,16.8
24,Canada,109,+14,1.0,,9.0,99,1.0,2.9
25,Greece,99,+10,,,,99,2.0,9.5
26,Israel,97,+22,,,4.0,93,2.0,11.2
27,Czechia,94,+31,,,,94,,8.8
28,Iceland,85,+4,,,1.0,84,,
29,UAE,74,,,,17.0,57,2.0,7.5
30,Kuwait,72,+3,,,2.0,70,3.0,16.9
31,Iraq,71,,7.0,,15.0,49,,1.8
32,San Marino,62,,2.0,,,60,5.0,
33,India,62,,,,4.0,58,,
34,Lebanon,61,+9,2.0,1.0,1.0,58,3.0,8.9
35,Egypt,60,+1,1.0,,27.0,32,,0.6
36,Thailand,59,+6,1.0,,34.0,24,1.0,0.8
37,Finland,59,+19,,,1.0,58,,10.6
38,Portugal,59,+18,,,,59,1.0,5.8
39,Slovenia,57,+23,,,,57,,27.4
40,Brazil,52,+18,,,,52,2.0,0.2
41,Philippines,49,+16,2.0,1.0,2.0,45,1.0,0.4
42,Taiwan,48,+1,1.0,,17.0,30,,2.0
43,Romania,47,+18,,,6.0,41,,2.4
44,Saudi Arabia,45,+25,,,1.0,44,,1.3
45,Ireland,43,+9,1.0,1.0,,42,,8.7
46,Vietnam,38,+4,,,16.0,22,,0.4
47,Indonesia,34,+7,1.0,1.0,2.0,31,,0.1
48,Poland,31,+9,,,,31,3.0,0.8
49,Palestine,30,+1,,,,30,,5.9
50,Georgia,24,+1,,,,24,1.0,6.0
51,Chile,23,+6,,,,23,,1.2
52,Algeria,20,,,,,20,,0.5
53,Russia,20,,,,3.0,17,,0.1
54,Argentina,19,,1.0,,,18,1.0,0.4
55,Croatia,19,+4,,,,19,,4.6
56,Pakistan,19,,,,2.0,17,,0.1
57,Oman,18,,,,9.0,9,,3.5
58,Ecuador,17,,,,,17,1.0,1.0
59,Estonia,16,+3,,,,16,,12.1
60,Albania,15,+5,1.0,1.0,,14,,5.2
61,Costa Rica,13,,,,,13,1.0,2.6
62,Hungary,13,+1,,,,13,,1.3
63,Peru,13,+2,,,,13,,0.4
64,South Africa,13,+6,,,,13,,0.2
65,Serbia,12,+7,,,,12,,1.4
66,Azerbaijan,11,,,,3.0,8,,1.1
67,Brunei,11,+5,,,,11,,
68,Macao,10,,,,10.0,0,,
69,Latvia,10,+2,,,1.0,9,,5.3
70,Slovakia,10,+3,,,,10,,1.8
71,Belarus,9,,,,3.0,6,,1.0
72,Colombia,9,+6,,,,9,,0.2
