,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80796,18.0,3169.0,11.0,62802.0,14825,4257.0,56.1
1,Italy,12462,,827.0,,1045.0,10590,1028.0,206.1
2,Iran,9000,,354.0,,2959.0,5687,,107.2
3,S. Korea,7869,114.0,66.0,6.0,333.0,7470,54.0,153.5
4,France,2281,,48.0,,12.0,2221,105.0,34.9
5,Spain,2277,,55.0,,183.0,2039,126.0,48.7
6,Germany,1966,,3.0,,25.0,1938,9.0,23.5
7,USA,1329,28.0,38.0,,15.0,1276,10.0,4.0
8,Diamond Princess,696,,7.0,,325.0,364,32.0,
9,Switzerland,652,,4.0,,4.0,644,,75.3
10,Japan,639,,15.0,,118.0,506,26.0,5.1
11,Norway,629,,,,1.0,628,,116.0
12,Denmark,514,,,,1.0,513,,88.7
13,Netherlands,503,,5.0,,,498,1.0,29.4
14,Sweden,500,,1.0,,1.0,498,2.0,49.5
15,UK,456,,8.0,,18.0,430,,6.7
16,Belgium,314,,3.0,,1.0,310,2.0,27.1
17,Qatar,262,,,,,262,,90.9
18,Austria,246,,,,4.0,242,1.0,27.3
19,Bahrain,195,,,,35.0,160,1.0,114.6
20,Singapore,178,,,,96.0,82,12.0,30.4
21,Malaysia,149,,,,26.0,123,2.0,4.6
22,Australia,139,11.0,3.0,,24.0,112,1.0,5.5
23,Hong Kong,130,,3.0,,77.0,50,6.0,17.3
24,Canada,118,8.0,1.0,,9.0,108,1.0,3.1
25,Greece,99,,,,,99,2.0,9.5
26,Israel,97,,,,4.0,93,2.0,11.2
27,Czechia,94,,,,,94,,8.8
28,Iceland,85,,,,,85,,
29,UAE,74,,,,17.0,57,2.0,7.5
30,Kuwait,72,,,,3.0,69,3.0,16.9
31,Iraq,71,,7.0,,15.0,49,,1.8
32,San Marino,69,,2.0,,,67,3.0,
33,Lebanon,68,,2.0,,1.0,65,3.0,10.0
34,Egypt,67,,1.0,,27.0,39,,0.7
35,Finland,65,,,,1.0,64,,11.7
36,India,62,,,,4.0,58,,
37,Portugal,61,,,,,61,1.0,6.0
38,Thailand,59,,1.0,,34.0,24,1.0,0.8
39,Slovenia,57,,,,,57,,27.4
40,Brazil,52,,,,,52,2.0,0.2
41,Philippines,49,,2.0,,2.0,45,1.0,0.4
42,Taiwan,48,,1.0,,17.0,30,,2.0
43,Romania,47,,,,6.0,41,,2.4
44,Saudi Arabia,45,,,,1.0,44,,1.3
45,Ireland,43,,1.0,,,42,,8.7
46,Vietnam,39,,,,16.0,23,,0.4
47,Indonesia,34,,1.0,,2.0,31,,0.1
48,Poland,31,,,,,31,3.0,0.8
49,Palestine,30,,,,,30,,5.9
50,Russia,28,,,,3.0,25,,0.2
51,Georgia,24,,,,,24,1.0,6.0
52,Chile,23,,,,,23,,1.2
53,Costa Rica,22,,,,,22,1.0,4.3
54,Argentina,21,,1.0,,,20,1.0,0.5
55,Algeria,20,,,,,20,,0.5
56,Pakistan,20,,,,2.0,18,,0.1
57,Croatia,19,,,,,19,,4.6
58,Oman,18,,,,9.0,9,,3.5
59,Serbia,18,,,,,18,,2.1
60,Ecuador,17,,,,,17,1.0,1.0
61,Peru,17,,,,,17,,0.5
62,Estonia,16,,,,,16,,12.1
63,Albania,15,,1.0,,,14,,5.2
64,Panama,14,,1.0,,,13,,3.2
65,Hungary,13,,,,,13,,1.3
66,South Africa,13,,,,,13,,0.2
67,Mexico,12,1.0,,,4.0,8,1.0,0.1
68,Azerbaijan,11,,,,3.0,8,,1.1
69,Brunei,11,,,,,11,,
70,Macao,10,,,,10.0,0,,
71,Latvia,10,,,,1.0,9,,5.3
72,Slovakia,10,,,,,10,,1.8
73,Belarus,9,,,,3.0,6,,1.0
74,Colombia,9,,,,,9,,0.2
75,Maldives,8,,,,,8,,
76,Bulgaria,7,,1.0,,,6,,1.0
77,Afghanistan,7,,,,,7,,0.2
78,Luxembourg,7,,,,,7,,
79,North Macedonia,7,,,,,7,,3.4
80,Tunisia,7,,,,,7,1.0,0.6
81,Bosnia and Herzegovina,7,,,,,7,,2.1
82,Malta,7,,,,,7,,
83,Morocco,6,,1.0,,,5,1.0,0.2
84,Cyprus,6,,,,,6,,5.0
85,Dominican Republic,5,,,,,5,,0.5
86,New Zealand,5,,,,,5,,1.0
87,French Guiana,5,,,,,5,,
88,Paraguay,5,,,,,5,1.0,0.7
89,Senegal,4,,,,1.0,3,,0.2
90,Cambodia,3,,,,1.0,2,,0.2
91,Lithuania,3,,,,,3,,1.1
92,Bangladesh,3,,,,,3,,
