,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80430,160.0,3013.0,32.0,25158,52259.0,5952.0
1,S. Korea,6088,467.0,40.0,5.0,5913,135.0,52.0
2,Italy,3858,769.0,148.0,41.0,3296,414.0,351.0
3,Iran,3513,591.0,108.0,16.0,2666,739.0,
4,Diamond Princess,696,,6.0,,478,212.0,35.0
5,Germany,543,281.0,,,526,17.0,2.0
6,France,423,138.0,7.0,3.0,404,12.0,15.0
7,Japan,361,30.0,6.0,,312,43.0,29.0
8,Spain,282,54.0,3.0,1.0,276,3.0,7.0
9,USA,209,51.0,12.0,1.0,188,9.0,8.0
10,Switzerland,118,25.0,1.0,1.0,114,3.0,
11,Singapore,117,5.0,,,36,81.0,7.0
12,UK,116,29.0,1.0,1.0,97,18.0,
13,Hong Kong,105,2.0,2.0,,66,37.0,6.0
14,Sweden,94,42.0,,,93,1.0,
15,Norway,90,31.0,,,90,,
16,Netherlands,82,44.0,,,82,,1.0
17,Kuwait,58,2.0,,,58,,
18,Bahrain,55,3.0,,,51,4.0,
19,Malaysia,55,5.0,,,33,22.0,
20,Australia,53,,2.0,,30,21.0,1.0
21,Belgium,50,27.0,,,49,1.0,1.0
22,Thailand,47,4.0,1.0,,15,31.0,1.0
23,Taiwan,44,2.0,1.0,,31,12.0,
24,Austria,41,12.0,,,39,2.0,1.0
25,Canada,37,3.0,,,29,8.0,1.0
26,Iraq,35,,3.0,1.0,32,,
27,Iceland,35,9.0,,,35,,
28,Greece,31,22.0,,,31,,
29,India,30,1.0,,,27,3.0,
30,UAE,28,,,,23,5.0,2.0
31,San Marino,21,5.0,1.0,,20,,3.0
32,Denmark,20,5.0,,,19,1.0,
33,Algeria,17,,,,17,,
34,Israel,17,2.0,,,15,2.0,
35,Lebanon,16,1.0,,,16,,1.0
36,Oman,16,1.0,,,14,2.0,
37,Vietnam,16,,,,0,16.0,
38,Ecuador,13,3.0,,,13,,1.0
39,Ireland,13,7.0,,,13,,
40,Czechia,12,4.0,,,12,,
41,Finland,12,5.0,,,11,1.0,
42,Macao,10,,,,1,9.0,
43,Croatia,10,,,,10,,
44,Georgia,9,6.0,,,9,,1.0
45,Portugal,9,3.0,,,9,,
46,Brazil,8,5.0,,,8,,
47,Qatar,8,,,,8,,
48,Palestine,7,7.0,,,7,,
49,Azerbaijan,6,3.0,,,6,,
50,Belarus,6,,,,6,,
51,Mexico,6,,,,5,1.0,
52,Romania,6,,,,5,1.0,
53,Estonia,5,3.0,,,5,,
54,Pakistan,5,,,,5,,
55,Saudi Arabia,5,3.0,,,4,1.0,
56,New Zealand,4,1.0,,,4,,
57,Russia,4,1.0,,,2,2.0,
58,Senegal,4,,,,4,,
59,Philippines,3,,1.0,,0,2.0,
60,Egypt,3,1.0,,,2,1.0,
61,Chile,3,,,,3,,
62,Slovenia,3,2.0,,,3,,
63,Indonesia,2,,,,2,,
64,Luxembourg,2,1.0,,,2,,
65,Morocco,2,1.0,,,2,,1.0
66,Bosnia and Herzegovina,2,2.0,,,2,,
67,Hungary,2,,,,2,,
68,Afghanistan,1,,,,1,,
69,Andorra,1,,,,1,,
70,Armenia,1,,,,1,,
71,Cambodia,1,,,,0,1.0,
72,Dominican Republic,1,,,,1,,
73,Jordan,1,,,,1,,
74,Latvia,1,,,,0,1.0,
75,Lithuania,1,,,,1,,
76,North Macedonia,1,,,,1,,
77,Monaco,1,,,,1,,
78,Nepal,1,,,,0,1.0,
79,Nigeria,1,,,,1,,
80,Sri Lanka,1,,,,0,1.0,
81,Tunisia,1,,,,1,,
82,Ukraine,1,,,,1,,
83,Argentina,1,,,,1,,
84,Gibraltar,1,,,,1,,
85,Liechtenstein,1,,,,1,,
86,Poland,1,,,,1,,
87,South Africa,1,1.0,,,1,,
88,Total:,98051,2882.0,3356.0,102.0,40560,54135.0,6479.0
