,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80430,160.0,3013.0,32.0,25203,52214.0,5952.0
1,S. Korea,5766,145.0,35.0,,5643,88.0,52.0
2,Italy,3089,,107.0,,2706,276.0,295.0
3,Iran,2922,,92.0,,2278,552.0,
4,Diamond Princess,706,,6.0,,488,212.0,35.0
5,Japan,331,,6.0,,282,43.0,29.0
6,France,285,,4.0,,269,12.0,15.0
7,Germany,262,,,,246,16.0,2.0
8,Spain,228,,2.0,,224,2.0,7.0
9,USA,160,2.0,11.0,,140,9.0,8.0
10,Singapore,112,,,,33,79.0,7.0
11,Hong Kong,105,2.0,2.0,,66,37.0,6.0
12,Switzerland,93,,,,90,3.0,
13,U.K.,88,1.0,,,80,8.0,
14,Norway,62,3.0,,,62,,
15,Kuwait,58,2.0,,,58,,
16,Australia,52,,2.0,,29,21.0,1.0
17,Bahrain,52,,,,51,1.0,
18,Sweden,52,,,,51,1.0,
19,Malaysia,50,,,,28,22.0,
20,Thailand,47,4.0,1.0,,15,31.0,1.0
21,Taiwan,42,,1.0,,29,12.0,
22,Netherlands,38,,,,38,,1.0
23,Austria,37,8.0,,,37,,
24,Iraq,35,,2.0,,33,,
25,Canada,34,,,,27,7.0,1.0
26,India,29,,,,26,3.0,
27,U.A.E.,28,,,,23,5.0,2.0
28,Iceland,26,,,,25,1.0,
29,Belgium,23,,,,22,1.0,1.0
30,Algeria,17,,,,17,,
31,San Marino,16,,1.0,,15,,3.0
32,Vietnam,16,,,,0,16.0,
33,Denmark,15,,,,15,,
34,Israel,15,,,,14,1.0,
35,Lebanon,15,,,,15,,1.0
36,Oman,15,,,,13,2.0,
37,Macao,10,,,,1,9.0,
38,Croatia,10,,,,10,,
39,Ecuador,10,,,,10,,1.0
40,Greece,10,1.0,,,10,,
41,Czechia,8,,,,8,,
42,Portugal,8,2.0,,,8,,
43,Qatar,8,,,,8,,
44,Finland,7,,,,6,1.0,
45,Belarus,6,,,,6,,
46,Ireland,6,,,,6,,
47,Mexico,6,,,,5,1.0,
48,Romania,6,,,,5,1.0,
49,Pakistan,5,,,,5,,
50,Russia,4,1.0,,,2,2.0,
51,Senegal,4,,,,4,,
52,State of Palestine,4,4.0,,,4,,
53,Philippines,3,,1.0,,0,2.0,
54,Azerbaijan,3,,,,3,,
55,Brazil,3,,,,3,,
56,Georgia,3,,,,3,,
57,New Zealand,3,,,,3,,
58,Chile,3,,,,3,,
59,Egypt,2,,,,1,1.0,
60,Estonia,2,,,,2,,
61,Indonesia,2,,,,2,,
62,Morocco,2,1.0,,,2,,
63,Saudi Arabia,2,,,,2,,
64,Hungary,2,,,,2,,
65,Afghanistan,1,,,,1,,
66,Andorra,1,,,,1,,
67,Armenia,1,,,,1,,
68,Cambodia,1,,,,0,1.0,
69,Dominican Republic,1,,,,1,,
70,Jordan,1,,,,1,,
71,Latvia,1,,,,1,,
72,Lithuania,1,,,,1,,
73,Luxembourg,1,,,,1,,
74,North Macedonia,1,,,,1,,
75,Monaco,1,,,,1,,
76,Nepal,1,,,,0,1.0,
77,Nigeria,1,,,,1,,
78,Sri Lanka,1,,,,0,1.0,
79,Tunisia,1,,,,1,,
80,Ukraine,1,,,,1,,
81,Argentina,1,,,,1,,
82,Liechtenstein,1,,,,1,,
83,Poland,1,,,,1,,
84,Slovenia,1,,,,1,,
85,Total:,95513,336.0,3286.0,32.0,38532,53695.0,6420.0
