,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
0,China,80552,143.0,3042.0,30.0,23753,53757.0,5737.0
1,S. Korea,6284,,40.0,,6109,135.0,52.0
2,Italy,3858,,148.0,,3296,414.0,351.0
3,Iran,3513,,108.0,,2666,739.0,
4,Diamond Princess,696,,6.0,,478,212.0,35.0
5,Germany,545,,,,528,17.0,2.0
6,France,423,,7.0,,404,12.0,23.0
7,Japan,364,,6.0,,315,43.0,29.0
8,Spain,282,,3.0,,276,3.0,7.0
9,USA,226,5.0,13.0,1.0,204,9.0,8.0
10,Switzerland,120,,1.0,,116,3.0,
11,Singapore,117,,,,36,81.0,7.0
12,UK,116,,1.0,,97,18.0,
13,Hong Kong,105,,2.0,,66,37.0,6.0
14,Sweden,94,,,,93,1.0,
15,Norway,91,,,,91,,
16,Netherlands,82,,,,82,,1.0
17,Australia,60,,2.0,,36,22.0,1.0
18,Kuwait,58,,,,58,,
19,Bahrain,55,,,,51,4.0,
20,Malaysia,55,,,,33,22.0,
21,Belgium,50,,,,49,1.0,1.0
22,Thailand,47,,1.0,,15,31.0,1.0
23,Canada,46,9.0,,,38,8.0,1.0
24,Taiwan,44,,1.0,,31,12.0,
25,Austria,43,,,,41,2.0,1.0
26,Iraq,36,,3.0,,33,,
27,Iceland,35,,,,35,,
28,Greece,31,,,,31,,
29,India,30,,,,27,3.0,
30,UAE,28,,,,23,5.0,2.0
31,San Marino,21,,1.0,,20,,3.0
32,Denmark,20,,,,19,1.0,
33,Algeria,17,,,,17,,
34,Israel,17,,,,15,2.0,
35,Lebanon,16,,,,16,,1.0
36,Oman,16,,,,14,2.0,
37,Vietnam,16,,,,0,16.0,
38,Ecuador,13,,,,13,,1.0
39,Ireland,13,,,,13,,
40,Czechia,12,,,,12,,
41,Finland,12,,,,11,1.0,
42,Macao,10,,,,1,9.0,
43,Croatia,10,,,,10,,
44,Georgia,9,,,,9,,1.0
45,Portugal,9,,,,9,,
46,Brazil,8,,,,8,,
47,Qatar,8,,,,8,,
48,Palestine,7,,,,7,,
49,Azerbaijan,6,,,,6,,
50,Belarus,6,,,,6,,
51,Mexico,6,,,,5,1.0,
52,Romania,6,,,,5,1.0,
53,Slovenia,6,,,,6,,
54,Estonia,5,,,,5,,
55,Pakistan,5,,,,5,,
56,Saudi Arabia,5,,,,4,1.0,
57,New Zealand,4,,,,4,,
58,Russia,4,,,,2,2.0,
59,Senegal,4,,,,4,,
60,Chile,4,,,,4,,
61,Hungary,4,,,,4,,
62,Philippines,3,,1.0,,0,2.0,
63,Egypt,3,,,,2,1.0,
64,Indonesia,2,,,,2,,
65,Luxembourg,2,,,,2,,
66,Morocco,2,,,,2,,1.0
67,Argentina,2,,,,2,,
68,Bosnia and Herzegovina,2,,,,2,,
69,Afghanistan,1,,,,1,,
70,Andorra,1,,,,1,,
71,Armenia,1,,,,1,,
72,Cambodia,1,,,,0,1.0,
73,Dominican Republic,1,,,,1,,
74,Jordan,1,,,,1,,
75,Latvia,1,,,,0,1.0,
76,Lithuania,1,,,,1,,
77,North Macedonia,1,,,,1,,
78,Monaco,1,,,,1,,
79,Nepal,1,,,,0,1.0,
80,Nigeria,1,,,,1,,
81,Sri Lanka,1,,,,0,1.0,
82,Tunisia,1,,,,1,,
83,Ukraine,1,,,,1,,
84,Bhutan,1,1.0,,,1,,
85,Costa Rica,1,,,,1,,
86,Gibraltar,1,,,,1,,
87,Liechtenstein,1,,,,1,,
88,Poland,1,,,,1,,
89,South Africa,1,,,,1,,
90,Total:,98422,158.0,3386.0,31.0,39402,55634.0,6272.0
